UserID,FullName,ContactNum,WardNum,WardName,Email,Password,userType
0,Valesh Pereira,9481941988,1,Kempegowda,ValeshPereira@gmail.com,ValeshPereira123,mayor
1,Arun Kumar,9845500215,1,Kempegowda,ArunKumar@gmail.com,ArunKumar123,wc
2,Vignesh Sankaran,9731755598,1,Kempegowda,VigneshSankaran@gmail.com,VigneshSankaran123,citizen
3,Ayesha,9900569951,1,Kempegowda,Ayesha@gmail.com,Ayesha123,citizen
4,iChange,9845612332,1,Kempegowda,iChange@gmail.com,iChange123,citizen
5,Revathi,8971584912,1,Kempegowda,Revathi@gmail.com,Revathi123,citizen
6,Priya Suresh,9945845036,1,Kempegowda,PriyaSuresh@gmail.com,PriyaSuresh123,citizen
7,Rakesh Harigovinda,9980855322,1,Kempegowda,RakeshHarigovinda@gmail.com,RakeshHarigovinda123,citizen
8,Kk Nayar,9449473858,1,Kempegowda,KkNayar@gmail.com,KkNayar123,citizen
9,Thomas,8197871693,1,Kempegowda,Thomas@gmail.com,Thomas123,citizen
10,Shashidhara,9986388347,1,Kempegowda,Shashidhara@gmail.com,Shashidhara123,citizen
11,Ayyanna.g,9886378468,1,Kempegowda,Ayyanna.g@gmail.com,Ayyanna.g123,citizen
12,Rajith S Pillai,9341736640,1,Kempegowda,RajithSPillai@gmail.com,RajithSPillai123,citizen
13,Mousumi,9845698464,1,Kempegowda,Mousumi@gmail.com,Mousumi123,citizen
14,Nilesh Pande,9008448549,1,Kempegowda,NileshPande@gmail.com,NileshPande123,citizen
15,Kavya S,9880854541,1,Kempegowda,KavyaS@gmail.com,KavyaS123,citizen
16,Madaram,9742109651,1,Kempegowda,Madaram@gmail.com,Madaram123,citizen
17,Anurag Chowdhury,9980470980,1,Kempegowda,AnuragChowdhury@gmail.com,AnuragChowdhury123,citizen
18,Ramachandran,8095008899,1,Kempegowda,Ramachandran@gmail.com,Ramachandran123,citizen
19,akhila,9480825773,1,Kempegowda,akhila@gmail.com,akhila123,citizen
20,Ananth K,9739316606,1,Kempegowda,AnanthK@gmail.com,AnanthK123,citizen
